Transcript stable ID	NCBI gene ID
ENSMUST00000204986	
ENSMUST00000136123	69234
ENSMUST00000106300	69234
ENSMUST00000148483	69234
ENSMUST00000135886	69234
ENSMUST00000126756	69234
ENSMUST00000129038	69234
ENSMUST00000121800	
ENSMUST00000195492	
ENSMUST00000034146	22227
ENSMUST00000119045	
ENSMUST00000119367	
ENSMUST00000195006	19335
ENSMUST00000140354	19335
ENSMUST00000088287	19335
ENSMUST00000138024	19335
ENSMUST00000135330	19335
ENSMUST00000151482	19335
ENSMUST00000115174	19335
ENSMUST00000150593	19335
ENSMUST00000122822	19335
ENSMUST00000132066	19335
ENSMUST00000060576	78134
ENSMUST00000120396	
ENSMUST00000206828	
ENSMUST00000177815	
ENSMUST00000185173	
ENSMUST00000103216	13347
ENSMUST00000030816	13347
ENSMUST00000153781	13347
ENSMUST00000218516	
ENSMUST00000189940	
ENSMUST00000150540	
ENSMUST00000121602	
ENSMUST00000185708	
ENSMUST00000216816	66660
ENSMUST00000215714	66660
ENSMUST00000213808	66660
ENSMUST00000049263	66660
ENSMUST00000217593	66660
ENSMUST00000213362	66660
ENSMUST00000214834	66660
ENSMUST00000216881	66660
ENSMUST00000061446	243339
ENSMUST00000197254	243339
ENSMUST00000204102	
ENSMUST00000091458	13865
ENSMUST00000150498	13865
ENSMUST00000127137	13865
ENSMUST00000125176	13865
ENSMUST00000135284	13865
ENSMUST00000224798	13865
ENSMUST00000217856	
ENSMUST00000219654	
ENSMUST00000204553	
ENSMUST00000205475	
ENSMUST00000189964	
ENSMUST00000188114	
ENSMUST00000179404	
ENSMUST00000227875	
ENSMUST00000226854	
ENSMUST00000227412	
ENSMUST00000226736	
ENSMUST00000182381	
ENSMUST00000182386	
ENSMUST00000042266	
ENSMUST00000073014	
ENSMUST00000228243	
ENSMUST00000226680	
ENSMUST00000091739	
ENSMUST00000069044	
ENSMUST00000160505	50908
ENSMUST00000162443	50908
ENSMUST00000159143	50908
ENSMUST00000159463	50908
ENSMUST00000162844	50908
ENSMUST00000185864	
ENSMUST00000214336	
ENSMUST00000015998	11801
ENSMUST00000119869	
ENSMUST00000203988	54343
ENSMUST00000032335	54343
ENSMUST00000185724	54343
ENSMUST00000186577	54343
ENSMUST00000185936	54343
ENSMUST00000187429	54343
ENSMUST00000186742	54343
ENSMUST00000189535	54343
ENSMUST00000195743	54343
ENSMUST00000203178	54343
ENSMUST00000188805	54343
ENSMUST00000185332	54343
ENSMUST00000117636	
ENSMUST00000119471	
ENSMUST00000130484	
ENSMUST00000212284	
ENSMUST00000119061	
ENSMUST00000162407	
ENSMUST00000164245	
ENSMUST00000224161	
ENSMUST00000134880	19013
ENSMUST00000109423	19013
ENSMUST00000138813	19013
ENSMUST00000109422	19013
ENSMUST00000057979	19013
ENSMUST00000136453	19013
ENSMUST00000203767	
ENSMUST00000134074	242646
ENSMUST00000062206	242646
ENSMUST00000144269	242646
ENSMUST00000223670	
ENSMUST00000045041	230145
ENSMUST00000107744	230145
ENSMUST00000203710	
ENSMUST00000082357	75071
ENSMUST00000190516	100040187
ENSMUST00000170889	100040187
ENSMUST00000141637	
ENSMUST00000160852	
ENSMUST00000122016	
ENSMUST00000203926	
ENSMUST00000232530	
ENSMUST00000190174	
ENSMUST00000225522	
ENSMUST00000094836	64293
ENSMUST00000121216	
ENSMUST00000082320	53627
ENSMUST00000154695	53627
ENSMUST00000089403	53627
ENSMUST00000077595	53627
ENSMUST00000089402	53627
ENSMUST00000122943	53627
ENSMUST00000139744	53627
ENSMUST00000116558	17826
ENSMUST00000099955	17826
ENSMUST00000161368	17826
ENSMUST00000219415	
ENSMUST00000119378	
ENSMUST00000211738	
ENSMUST00000008745	53868
ENSMUST00000131775	53868
ENSMUST00000141371	53868
ENSMUST00000149724	53868
ENSMUST00000182945	
ENSMUST00000121982	
ENSMUST00000057718	76627
ENSMUST00000187304	76627
ENSMUST00000048718	109136
ENSMUST00000210231	109136
ENSMUST00000151243	15216
ENSMUST00000091706	15216
ENSMUST00000091707	15216
ENSMUST00000006787	15216
ENSMUST00000236466	
ENSMUST00000212475	
ENSMUST00000117284	
ENSMUST00000203447	73949
ENSMUST00000186866	
ENSMUST00000085745	74682
ENSMUST00000159126	74682
ENSMUST00000160329	74682
ENSMUST00000111113	74682
ENSMUST00000161019	74682
ENSMUST00000160873	74682
ENSMUST00000159735	74682
ENSMUST00000140111	
ENSMUST00000139264	
ENSMUST00000155069	
ENSMUST00000227357	
ENSMUST00000228428	
ENSMUST00000186062	
ENSMUST00000171534	19657
ENSMUST00000100360	19657
ENSMUST00000217756	
ENSMUST00000122030	
ENSMUST00000239154	
ENSMUST00000236375	
ENSMUST00000238625	
ENSMUST00000098744	
ENSMUST00000206354	
ENSMUST00000043294	65255
ENSMUST00000183358	65255
ENSMUST00000089184	16515
ENSMUST00000041944	16515
ENSMUST00000108717	16515
ENSMUST00000126135	12795
ENSMUST00000076859	12795
ENSMUST00000147730	12795
ENSMUST00000120568	
ENSMUST00000120172	
ENSMUST00000223953	
ENSMUST00000186880	
ENSMUST00000119250	
ENSMUST00000220010	
ENSMUST00000219536	
ENSMUST00000219920	
ENSMUST00000117630	
ENSMUST00000129876	
ENSMUST00000225248	
ENSMUST00000236360	
ENSMUST00000197388	
ENSMUST00000117772	
ENSMUST00000190643	
ENSMUST00000186891	
ENSMUST00000189975	
ENSMUST00000084046	
ENSMUST00000105020	
ENSMUST00000166114	
ENSMUST00000026029	75185
ENSMUST00000150073	
ENSMUST00000224031	
ENSMUST00000102856	104570
ENSMUST00000020755	104570
ENSMUST00000156280	104570
ENSMUST00000139283	104570
ENSMUST00000127621	104570
ENSMUST00000127818	104570
ENSMUST00000148759	104570
ENSMUST00000161861	224014
ENSMUST00000162671	224014
ENSMUST00000069284	224014
ENSMUST00000172181	224014
ENSMUST00000162045	224014
ENSMUST00000162124	224014
ENSMUST00000159542	224014
ENSMUST00000159058	224014
ENSMUST00000162414	224014
ENSMUST00000162542	224014
ENSMUST00000161624	224014
ENSMUST00000161188	224014
ENSMUST00000198422	17425
ENSMUST00000072837	17425
ENSMUST00000194752	
ENSMUST00000163461	
ENSMUST00000159348	108899
ENSMUST00000189779	108899
ENSMUST00000161907	108899
ENSMUST00000191580	108899
ENSMUST00000159346	108899
ENSMUST00000160561	108899
ENSMUST00000189047	
ENSMUST00000151060	114142
ENSMUST00000204869	114142
ENSMUST00000128567	114142
ENSMUST00000138273	114142
ENSMUST00000156883	114142
ENSMUST00000115470	114142
ENSMUST00000154448	114142
ENSMUST00000115474	114142
ENSMUST00000115472	114142
ENSMUST00000031545	114142
ENSMUST00000137628	114142
ENSMUST00000151301	114142
ENSMUST00000140557	114142
ENSMUST00000131414	114142
ENSMUST00000115469	114142
ENSMUST00000159788	114142
ENSMUST00000203227	114142
ENSMUST00000152563	114142
ENSMUST00000115475	114142
ENSMUST00000115477	114142
ENSMUST00000191298	
ENSMUST00000216575	
ENSMUST00000169689	
ENSMUST00000044106	17463
ENSMUST00000213080	17463
ENSMUST00000069994	20454
ENSMUST00000114112	20454
ENSMUST00000187007	20454
ENSMUST00000188366	20454
ENSMUST00000101137	
ENSMUST00000238717	
ENSMUST00000217230	
ENSMUST00000025885	56390
ENSMUST00000160141	56390
ENSMUST00000159693	56390
ENSMUST00000162976	56390
ENSMUST00000159008	56390
ENSMUST00000150051	
ENSMUST00000153748	
ENSMUST00000121691	
ENSMUST00000189285	
ENSMUST00000234669	
ENSMUST00000205185	245128
ENSMUST00000171749	245128
ENSMUST00000203937	245128
ENSMUST00000214107	
ENSMUST00000117202	
ENSMUST00000190742	
ENSMUST00000234789	
ENSMUST00000169862	
ENSMUST00000166086	100041749
ENSMUST00000121728	
ENSMUST00000185212	
ENSMUST00000227762	
ENSMUST00000233944	100041352
ENSMUST00000233884	100041352
ENSMUST00000097403	100041352
ENSMUST00000169242	
ENSMUST00000118009	234344
ENSMUST00000212916	234344
ENSMUST00000185202	
ENSMUST00000174545	57258
ENSMUST00000174152	57258
ENSMUST00000172539	57258
ENSMUST00000173940	57258
ENSMUST00000173172	57258
ENSMUST00000172524	57258
ENSMUST00000172647	57258
ENSMUST00000173638	57258
ENSMUST00000089482	57258
ENSMUST00000225388	75050
ENSMUST00000224694	75050
ENSMUST00000225680	75050
ENSMUST00000043605	75050
ENSMUST00000118641	
ENSMUST00000122213	79455
ENSMUST00000031145	79455
ENSMUST00000226037	
ENSMUST00000026315	13421
ENSMUST00000145234	13421
ENSMUST00000118338	
ENSMUST00000165401	
ENSMUST00000067625	14659
ENSMUST00000002073	16997
ENSMUST00000163189	16997
ENSMUST00000166383	16997
ENSMUST00000163214	16997
ENSMUST00000165141	16997
ENSMUST00000168699	16997
ENSMUST00000110254	16997
ENSMUST00000159592	231637
ENSMUST00000112298	231637
ENSMUST00000077689	231637
ENSMUST00000159510	231637
ENSMUST00000162396	231637
ENSMUST00000162322	231637
ENSMUST00000141149	
ENSMUST00000152740	
ENSMUST00000155950	
ENSMUST00000171737	18263
ENSMUST00000222617	18263
ENSMUST00000221701	18263
ENSMUST00000220947	18263
ENSMUST00000221613	18263
ENSMUST00000220849	18263
ENSMUST00000221354	18263
ENSMUST00000222250	18263
ENSMUST00000072141	
ENSMUST00000235871	
ENSMUST00000236656	
ENSMUST00000166713	231207
ENSMUST00000169035	231207
ENSMUST00000114065	231207
ENSMUST00000198754	231207
ENSMUST00000114066	231207
ENSMUST00000200685	231207
ENSMUST00000127599	231207
ENSMUST00000167363	
ENSMUST00000088169	20168
ENSMUST00000088171	20168
ENSMUST00000065304	20168
ENSMUST00000025667	20168
ENSMUST00000235593	20168
ENSMUST00000179789	
ENSMUST00000238232	
ENSMUST00000037907	
ENSMUST00000149539	
ENSMUST00000139583	
ENSMUST00000127026	
ENSMUST00000137903	
ENSMUST00000142055	
ENSMUST00000139110	
ENSMUST00000140616	
ENSMUST00000136435	
ENSMUST00000135966	
ENSMUST00000190209	108168563
ENSMUST00000121910	
ENSMUST00000191161	
ENSMUST00000100064	20274
ENSMUST00000112354	20274
ENSMUST00000151234	20274
ENSMUST00000141603	20274
ENSMUST00000164384	20274
ENSMUST00000100063	20274
ENSMUST00000169900	20274
ENSMUST00000153328	
